annual_income,credit_score,previous_defaults,credit_utilization_ratio,inquiry_count_6m,debt_to_income_ratio,default_flag
50105,648,0,0.69,0,0.07,0
41988,730,0,1.0,1,0.39,0
37075,569,0,0.57,1,0.25,0
54959,694,0,0.86,2,0.33,0
34871,690,1,0.46,4,0.29,1
57596,611,1,0.49,0,0.2,0
50707,706,0,0.2,2,0.09,0
48721,680,1,0.79,0,0.19,0
50105,725,1,0.17,1,0.14,0
50105,640,0,0.25,0,0.48,0
50105,674,0,0.89,1,0.29,0
56201,701,0,0.17,0,0.22,0
33676,701,0,0.32,1,0.54,0
48450,676,0,0.61,5,0.29,0
36389,713,0,0.58,4,0.3,0
38185,645,1,0.17,0,0.43,0
54614,592,0,0.12,2,0.19,0
47549,677,0,0.31,4,0.28,0
49855,684,0,0.49,1,0.18,0
53245,611,0,0.25,0,0.25,0
50105,665,1,0.46,1,0.29,0
41107,722,0,0.79,0,0.52,0
50105,722,0,0.44,4,0.33,0
50105,623,0,0.65,1,0.29,0
40761,676,0,0.41,0,0.26,0
57208,745,1,0.07,3,0.28,0
44952,690,0,0.7,0,0.34,0
52697,713,0,0.42,1,0.32,0
62797,609,0,0.25,0,0.19,0
50105,730,0,0.42,2,0.17,0
49430,613,0,0.39,4,0.45,0
53721,641,1,0.33,0,0.26,0
60265,676,0,0.15,0,0.23,0
41251,691,0,0.35,0,0.18,0
31832,684,1,0.09,1,0.46,0
62748,751,0,0.19,1,0.28,0
44709,670,0,0.27,1,0.27,0
54631,660,1,0.92,2,0.16,0
45035,628,0,0.39,2,0.03,0
54882,649,0,0.17,1,0.12,0
38485,588,0,0.41,2,0.31,0
52081,780,0,0.24,3,0.23,0
41915,701,0,0.53,1,0.29,0
62505,707,0,0.1,0,0.26,0
50105,628,0,0.34,2,0.18,0
60238,671,0,0.86,7,0.3,0
63328,626,0,0.44,1,0.36,0
45314,701,0,0.46,2,0.1,0
58269,720,1,0.15,1,0.29,0
50105,711,1,0.2,0,0.17,0
42925,677,0,0.27,1,0.31,0
37004,741,0,0.49,1,0.29,0
48357,615,0,0.76,1,0.33,0
50105,698,0,0.89,3,0.29,0
44816,646,0,0.44,2,0.4,0
46147,659,0,0.37,1,0.19,0
38930,677,0,0.48,1,0.51,0
50082,624,1,0.29,1,0.29,0
50620,660,0,0.56,1,0.21,0
69167,638,0,0.54,3,0.16,0
59552,734,0,0.23,0,0.26,0
48524,687,0,0.31,0,0.45,0
41170,661,0,0.18,2,0.08,0
40952,695,0,0.46,2,0.51,0
45052,613,0,0.2,0,0.03,0
50105,651,0,0.86,6,0.06,0
49517,671,0,0.65,2,0.29,0
68636,634,0,1.0,4,0.39,0
50105,761,0,0.29,3,0.29,0
50105,572,1,0.79,1,0.14,1
33964,657,0,0.54,0,0.34,0
50105,660,0,0.4,2,0.16,0
51027,666,0,0.53,1,0.37,0
61078,687,0,0.18,5,0.31,0
61956,695,0,0.67,3,0.19,0
61201,611,0,0.41,1,0.21,0
59796,687,1,0.42,0,0.22,0
50105,756,1,0.17,1,0.47,0
34543,664,1,0.34,0,0.25,0
50105,697,0,0.22,4,0.29,0
42685,681,0,0.4,2,0.3,0
57446,697,0,0.64,0,0.26,0
50105,724,1,0.45,0,0.15,0
43281,717,0,0.43,1,0.48,0
41119,658,0,0.93,1,0.45,0
62921,556,0,0.11,0,0.3,0
64837,637,0,0.92,2,0.25,0
45222,608,0,0.25,1,0.43,0
66336,721,0,0.37,0,0.09,0
56911,746,0,0.31,0,0.31,0
50772,723,0,0.19,1,0.27,0
50299,635,0,0.12,2,0.11,0
50012,700,0,0.15,1,0.48,0
56789,701,0,0.67,1,0.27,0
42131,630,0,0.19,2,0.38,0
46514,691,0,0.13,1,0.15,0
58943,621,2,0.46,3,0.23,0
50105,655,0,0.64,1,0.29,0
45377,645,0,0.61,0,0.29,0
67237,696,3,0.67,1,0.26,0
44099,687,0,0.34,1,0.32,0
63680,681,1,0.57,0,0.13,0
59138,736,0,0.73,0,0.2,0
62115,650,1,0.25,3,0.21,0
52014,708,0,0.75,0,0.03,0
59316,708,1,0.3,2,0.36,0
64857,688,0,0.71,1,0.22,0
41976,681,0,0.35,1,0.39,0
35063,722,0,0.17,2,0.16,0
52561,707,0,0.35,2,0.37,0
63732,762,0,0.62,1,0.22,0
53331,692,0,0.21,0,0.29,0
61574,722,0,0.61,2,0.42,0
50105,665,0,0.5,3,0.09,0
42595,627,1,0.51,2,0.11,0
55270,730,2,0.22,4,0.19,0
50105,673,1,0.77,2,0.07,0
39757,712,1,0.22,2,0.29,0
48258,741,2,0.63,2,0.43,0
51517,666,0,0.19,2,0.31,0
50105,706,0,0.25,3,0.49,0
50105,740,0,0.56,0,0.34,0
64872,565,0,1.0,3,0.06,0
34660,670,0,0.29,2,0.3,0
43691,716,0,0.11,1,0.3,0
52802,648,1,0.6,3,0.27,0
64345,722,1,0.35,2,0.11,0
50794,675,0,0.13,2,0.33,0
60354,709,0,0.22,1,0.25,0
52840,661,0,0.38,1,0.44,0
51658,734,0,0.21,2,0.37,0
68217,714,1,0.28,3,0.21,0
50105,581,0,0.47,4,0.05,0
43315,624,1,0.68,2,0.21,0
50105,718,0,0.06,1,0.29,0
50105,786,1,0.37,0,0.1,0
50105,594,0,0.5,0,0.0,0
52575,615,0,0.43,2,0.29,0
61591,711,0,0.9,2,0.07,0
50105,630,0,0.56,2,0.19,0
50105,746,1,0.12,0,0.29,0
42569,739,0,0.08,4,0.53,0
36725,669,0,0.41,2,0.48,0
50105,640,0,0.41,1,0.47,0
44077,618,0,0.33,0,0.43,0
34583,705,0,0.64,0,0.52,0
45983,621,0,0.8,0,0.54,0
44596,729,0,0.16,2,0.21,0
43552,673,0,0.31,3,0.08,0
63114,719,0,0.25,3,0.3,0
50105,776,0,0.29,4,0.32,0
66147,597,1,0.29,0,0.05,0
50105,690,1,0.46,1,0.29,0
50105,578,1,0.43,2,0.07,0
38443,637,0,0.26,2,0.29,0
50105,725,1,0.36,0,0.29,0
60261,624,0,0.34,0,0.22,0
37876,637,0,0.42,0,0.45,0
54507,625,0,0.4,4,0.17,0
48759,733,0,0.7,1,0.25,0
32605,704,0,0.67,1,0.39,0
46699,681,0,0.23,2,0.29,0
52247,646,0,1.0,0,0.27,0
65573,615,1,0.23,1,0.3,0
59919,738,0,0.2,3,0.18,0
66255,745,0,0.69,1,0.15,0
50201,739,0,0.53,0,0.36,0
41058,657,0,0.6,1,0.24,0
41954,630,0,0.21,0,0.48,0
37775,675,1,0.76,1,0.39,0
51592,616,0,0.34,1,0.13,0
50425,641,1,0.25,1,0.2,0
57286,644,0,0.1,3,0.1,0
47575,729,0,0.11,0,0.44,0
50105,695,0,0.46,2,0.38,0
50978,701,0,0.45,4,0.34,0
50105,675,0,0.81,1,0.33,0
49075,674,0,0.47,4,0.2,0
50105,688,0,0.62,1,0.29,0
52544,638,0,0.63,2,0.23,0
48800,735,0,0.21,2,0.35,0
42972,695,0,0.56,0,0.4,0
56690,614,0,0.49,1,0.13,0
33942,667,0,0.02,1,0.29,0
59898,661,1,0.48,1,0.13,0
50105,652,0,0.17,3,0.2,0
50105,636,0,0.66,2,0.06,0
59940,526,0,0.1,1,0.05,0
50270,695,0,0.05,0,0.29,0
50105,737,2,0.74,1,0.2,0
68704,700,0,0.85,0,0.32,0
42080,708,0,0.47,0,0.19,0
34352,726,0,0.39,0,0.29,0
42041,606,0,0.58,3,0.5,0
59920,678,0,0.2,3,0.22,0
50105,611,0,0.59,0,0.11,0
32008,726,0,0.37,0,0.29,0
53380,738,2,0.58,1,0.16,0
45621,640,0,0.17,4,0.41,0
50105,646,0,0.17,2,0.16,0
39061,631,1,0.2,1,0.38,0
48528,683,0,0.18,2,0.29,0
51574,581,0,0.08,2,0.23,0
39483,675,2,0.42,1,0.29,0
68527,638,0,0.29,1,0.17,0
56429,713,0,0.31,0,0.27,0
51136,680,0,0.37,2,0.27,0
36551,676,0,0.19,2,0.19,0
50105,640,1,0.35,0,0.24,0
58656,660,2,0.49,3,0.26,0
51415,625,0,0.92,4,0.33,0
54161,743,0,0.4,1,0.3,0
40528,670,0,0.29,1,0.16,0
68853,767,0,0.67,4,0.23,0
45745,740,1,0.23,3,0.34,0
51176,655,1,0.94,1,0.11,0
54163,674,1,0.42,2,0.08,0
50105,666,0,0.62,2,0.3,0
39601,654,0,0.43,1,0.36,0
38420,685,1,0.44,1,0.47,0
62709,710,0,0.17,1,0.43,0
50105,672,0,0.82,1,0.29,0
38211,691,0,0.62,0,0.44,0
60485,678,0,1.0,1,0.22,0
49259,708,0,0.62,1,0.49,0
50105,766,0,0.15,2,0.27,0
41879,636,1,0.45,1,0.45,0
43495,732,2,0.2,3,0.28,0
63934,739,0,0.13,3,0.31,0
65209,714,1,0.11,1,0.05,0
51269,687,0,0.36,3,0.35,0
50105,759,0,0.6,0,0.18,0
36454,661,0,0.34,1,0.24,0
58216,637,0,0.48,2,0.37,0
51481,696,1,1.0,1,0.29,0
50105,710,0,0.37,1,0.43,0
52291,767,0,0.8,0,0.22,0
47360,675,1,0.56,1,0.26,0
45355,661,2,0.8,6,0.03,1
50105,652,0,0.13,2,0.27,0
64191,689,0,0.06,2,0.14,0
49986,732,0,0.28,2,0.26,0
32346,742,0,0.67,2,0.49,0
58354,678,0,0.47,4,0.1,0
60052,664,0,0.51,1,0.17,0
59558,615,0,0.86,0,0.16,0
50105,591,0,0.29,2,0.33,0
35925,799,0,0.55,1,0.29,0
45795,756,1,0.05,1,0.33,0
50105,623,0,0.78,1,0.29,0
45011,687,0,0.43,1,0.38,0
50105,635,0,0.41,2,0.23,0
32207,684,0,0.22,2,0.29,0
45483,644,0,0.15,1,0.31,0
41421,819,0,0.54,2,0.18,0
48979,657,1,0.37,1,0.34,0
58440,680,1,0.85,0,0.22,0
38012,709,0,0.52,1,0.21,0
58400,736,1,0.68,2,0.09,0
44256,685,0,0.33,3,0.37,0
59563,585,0,0.06,0,0.27,0
35858,608,1,0.33,1,0.06,0
57391,604,0,0.12,0,0.25,0
50105,663,1,0.23,2,0.17,0
45315,752,0,0.12,2,0.12,0
60794,646,0,0.1,2,0.23,0
39653,740,0,0.19,2,0.53,0
38385,689,0,0.27,0,0.33,0
50105,648,1,0.44,3,0.42,0
50105,696,0,0.37,2,0.52,0
46148,631,1,0.36,0,0.32,0
57877,728,0,0.43,0,0.37,0
45932,684,1,0.25,0,0.18,0
41373,738,0,0.33,1,0.32,0
47098,681,1,0.28,1,0.51,0
50105,770,0,0.23,1,0.24,0
